R,G,B,Hex
0,0,0,#000000
0,0,5,#000005
0,0,10,#00000A
0,0,15,#00000F
0,0,20,#000014
0,0,25,#000019
0,0,30,#00001E
0,0,35,#000023
0,0,40,#000028
0,0,45,#00002D
0,0,50,#000032
0,0,55,#000037
0,0,60,#00003C
0,0,65,#000041
0,0,70,#000046
0,0,75,#00004B
0,0,80,#000050
0,0,85,#000055
0,0,90,#00005A
0,0,95,#00005F
0,0,100,#000064
0,0,105,#000069
0,0,110,#00006E
0,0,115,#000073
0,0,120,#000078
0,0,125,#00007D
0,0,130,#000082
0,0,135,#000087
0,0,140,#00008C
0,0,145,#000091
0,0,150,#000096
0,0,155,#00009B
0,0,160,#0000A0
0,0,165,#0000A5
0,0,170,#0000AA
0,0,175,#0000AF
0,0,180,#0000B4
0,0,185,#0000B9
0,0,190,#0000BE
0,0,195,#0000C3
0,0,200,#0000C8
0,0,205,#0000CD
0,0,210,#0000D2
0,0,215,#0000D7
0,0,220,#0000DC
0,0,225,#0000E1
0,0,230,#0000E6
0,0,235,#0000EB
0,0,240,#0000F0
0,0,245,#0000F5
0,0,250,#0000FA
0,0,255,#0000FF
0,5,0,#000500
0,5,5,#000505
0,5,10,#00050A
0,5,15,#00050F
0,5,20,#000514
0,5,25,#000519
0,5,30,#00051E
0,5,35,#000523
0,5,40,#000528
0,5,45,#00052D
0,5,50,#000532
0,5,55,#000537
0,5,60,#00053C
0,5,65,#000541
0,5,70,#000546
0,5,75,#00054B
0,5,80,#000550
0,5,85,#000555
0,5,90,#00055A
0,5,95,#00055F
0,5,100,#000564
0,5,105,#000569
0,5,110,#00056E
0,5,115,#000573
0,5,120,#000578
0,5,125,#00057D
0,5,130,#000582
0,5,135,#000587
0,5,140,#00058C
0,5,145,#000591
0,5,150,#000596
0,5,155,#00059B
0,5,160,#0005A0
0,5,165,#0005A5
0,5,170,#0005AA
0,5,175,#0005AF
0,5,180,#0005B4
0,5,185,#0005B9
0,5,190,#0005BE
0,5,195,#0005C3
0,5,200,#0005C8
0,5,205,#0005CD
0,5,210,#0005D2
0,5,215,#0005D7
0,5,220,#0005DC
0,5,225,#0005E1
0,5,230,#0005E6
0,5,235,#0005EB
0,5,240,#0005F0
0,5,245,#0005F5
0,5,250,#0005FA
0,5,255,#0005FF
0,10,0,#000A00
0,10,5,#000A05
0,10,10,#000A0A
0,10,15,#000A0F
0,10,20,#000A14
0,10,25,#000A19
0,10,30,#000A1E
0,10,35,#000A23
0,10,40,#000A28
0,10,45,#000A2D
0,10,50,#000A32
0,10,55,#000A37
0,10,60,#000A3C
0,10,65,#000A41
0,10,70,#000A46
0,10,75,#000A4B
0,10,80,#000A50
0,10,85,#000A55
0,10,90,#000A5A
0,10,95,#000A5F
0,10,100,#000A64
0,10,105,#000A69
0,10,110,#000A6E
0,10,115,#000A73
0,10,120,#000A78
0,10,125,#000A7D
0,10,130,#000A82
0,10,135,#000A87
0,10,140,#000A8C
0,10,145,#000A91
0,10,150,#000A96
0,10,155,#000A9B
0,10,160,#000AA0
0,10,165,#000AA5
0,10,170,#000AAA
0,10,175,#000AAF
0,10,180,#000AB4
0,10,185,#000AB9
0,10,190,#000ABE
0,10,195,#000AC3
0,10,200,#000AC8
0,10,205,#000ACD
0,10,210,#000AD2
0,10,215,#000AD7
0,10,220,#000ADC
0,10,225,#000AE1
0,10,230,#000AE6
0,10,235,#000AEB
0,10,240,#000AF0
0,10,245,#000AF5
0,10,250,#000AFA
0,10,255,#000AFF
0,15,0,#000F00
0,15,5,#000F05
0,15,10,#000F0A
0,15,15,#000F0F
0,15,20,#000F14
0,15,25,#000F19
0,15,30,#000F1E
0,15,35,#000F23
0,15,40,#000F28
0,15,45,#000F2D
0,15,50,#000F32
0,15,55,#000F37
0,15,60,#000F3C
0,15,65,#000F41
0,15,70,#000F46
0,15,75,#000F4B
0,15,80,#000F50
0,15,85,#000F55
0,15,90,#000F5A
0,15,95,#000F5F
0,15,100,#000F64
0,15,105,#000F69
0,15,110,#000F6E
0,15,115,#000F73
0,15,120,#000F78
0,15,125,#000F7D
0,15,130,#000F82
0,15,135,#000F87
0,15,140,#000F8C
0,15,145,#000F91
0,15,150,#000F96
0,15,155,#000F9B
0,15,160,#000FA0
0,15,165,#000FA5
0,15,170,#000FAA
0,15,175,#000FAF
0,15,180,#000FB4
0,15,185,#000FB9
0,15,190,#000FBE
0,15,195,#000FC3
0,15,200,#000FC8
0,15,205,#000FCD
0,15,210,#000FD2
0,15,215,#000FD7
0,15,220,#000FDC
0,15,225,#000FE1
0,15,230,#000FE6
0,15,235,#000FEB
0,15,240,#000FF0
0,15,245,#000FF5
0,15,250,#000FFA
0,15,255,#000FFF
0,20,0,#001400
0,20,5,#001405
0,20,10,#00140A
0,20,15,#00140F
0,20,20,#001414
0,20,25,#001419
0,20,30,#00141E
0,20,35,#001423
0,20,40,#001428
0,20,45,#00142D
0,20,50,#001432
0,20,55,#001437
0,20,60,#00143C
0,20,65,#001441
0,20,70,#001446
0,20,75,#00144B
0,20,80,#001450
0,20,85,#001455
0,20,90,#00145A
0,20,95,#00145F
0,20,100,#001464
0,20,105,#001469
0,20,110,#00146E
0,20,115,#001473
0,20,120,#001478
0,20,125,#00147D
0,20,130,#001482
0,20,135,#001487
0,20,140,#00148C
0,20,145,#001491
0,20,150,#001496
0,20,155,#00149B
0,20,160,#0014A0
0,20,165,#0014A5
0,20,170,#0014AA
0,20,175,#0014AF
0,20,180,#0014B4
0,20,185,#0014B9
0,20,190,#0014BE
0,20,195,#0014C3
0,20,200,#0014C8
0,20,205,#0014CD
0,20,210,#0014D2
0,20,215,#0014D7
0,20,220,#0014DC
0,20,225,#0014E1
0,20,230,#0014E6
0,20,235,#0014EB
0,20,240,#0014F0
0,20,245,#0014F5
0,20,250,#0014FA
0,20,255,#0014FF
0,25,0,#001900
0,25,5,#001905
0,25,10,#00190A
0,25,15,#00190F
0,25,20,#001914
0,25,25,#001919
0,25,30,#00191E
0,25,35,#001923
0,25,40,#001928
0,25,45,#00192D
0,25,50,#001932
0,25,55,#001937
0,25,60,#00193C
0,25,65,#001941
0,25,70,#001946
0,25,75,#00194B
0,25,80,#001950
0,25,85,#001955
0,25,90,#00195A
0,25,95,#00195F
0,25,100,#001964
0,25,105,#001969
0,25,110,#00196E
0,25,115,#001973
0,25,120,#001978
0,25,125,#00197D
0,25,130,#001982
0,25,135,#001987
0,25,140,#00198C
0,25,145,#001991
0,25,150,#001996
0,25,155,#00199B
0,25,160,#0019A0
0,25,165,#0019A5
0,25,170,#0019AA
0,25,175,#0019AF
0,25,180,#0019B4
0,25,185,#0019B9
0,25,190,#0019BE
0,25,195,#0019C3
0,25,200,#0019C8
0,25,205,#0019CD
0,25,210,#0019D2
0,25,215,#0019D7
0,25,220,#0019DC
0,25,225,#0019E1
0,25,230,#0019E6
0,25,235,#0019EB
0,25,240,#0019F0
0,25,245,#0019F5
0,25,250,#0019FA
0,25,255,#0019FF
0,30,0,#001E00
0,30,5,#001E05
0,30,10,#001E0A
0,30,15,#001E0F
0,30,20,#001E14
0,30,25,#001E19
0,30,30,#001E1E
0,30,35,#001E23
0,30,40,#001E28
0,30,45,#001E2D
0,30,50,#001E32
0,30,55,#001E37
0,30,60,#001E3C
0,30,65,#001E41
0,30,70,#001E46
0,30,75,#001E4B
0,30,80,#001E50
0,30,85,#001E55
0,30,90,#001E5A
0,30,95,#001E5F
0,30,100,#001E64
0,30,105,#001E69
0,30,110,#001E6E
0,30,115,#001E73
0,30,120,#001E78
0,30,125,#001E7D
0,30,130,#001E82
0,30,135,#001E87
0,30,140,#001E8C
0,30,145,#001E91
0,30,150,#001E96
0,30,155,#001E9B
0,30,160,#001EA0
0,30,165,#001EA5
0,30,170,#001EAA
0,30,175,#001EAF
0,30,180,#001EB4
0,30,185,#001EB9
0,30,190,#001EBE
0,30,195,#001EC3
0,30,200,#001EC8
0,30,205,#001ECD
0,30,210,#001ED2
0,30,215,#001ED7
0,30,220,#001EDC
0,30,225,#001EE1
0,30,230,#001EE6
0,30,235,#001EEB
0,30,240,#001EF0
0,30,245,#001EF5
0,30,250,#001EFA
0,30,255,#001EFF
0,35,0,#002300
0,35,5,#002305
0,35,10,#00230A
0,35,15,#00230F
0,35,20,#002314
0,35,25,#002319
0,35,30,#00231E
0,35,35,#002323
0,35,40,#002328
0,35,45,#00232D
0,35,50,#002332
0,35,55,#002337
0,35,60,#00233C
0,35,65,#002341
0,35,70,#002346
0,35,75,#00234B
0,35,80,#002350
0,35,85,#002355
0,35,90,#00235A
0,35,95,#00235F
0,35,100,#002364
0,35,105,#002369
0,35,110,#00236E
0,35,115,#002373
0,35,120,#002378
0,35,125,#00237D
0,35,130,#002382
0,35,135,#002387
0,35,140,#00238C
0,35,145,#002391
0,35,150,#002396
0,35,155,#00239B
0,35,160,#0023A0
0,35,165,#0023A5
0,35,170,#0023AA
0,35,175,#0023AF
0,35,180,#0023B4
0,35,185,#0023B9
0,35,190,#0023BE
0,35,195,#0023C3
0,35,200,#0023C8
0,35,205,#0023CD
0,35,210,#0023D2
0,35,215,#0023D7
0,35,220,#0023DC
0,35,225,#0023E1
0,35,230,#0023E6
0,35,235,#0023EB
0,35,240,#0023F0
0,35,245,#0023F5
0,35,250,#0023FA
0,35,255,#0023FF
0,40,0,#002800
0,40,5,#002805
0,40,10,#00280A
0,40,15,#00280F
0,40,20,#002814
0,40,25,#002819
0,40,30,#00281E
0,40,35,#002823
0,40,40,#002828
0,40,45,#00282D
0,40,50,#002832
0,40,55,#002837
0,40,60,#00283C
0,40,65,#002841
0,40,70,#002846
0,40,75,#00284B
0,40,80,#002850
0,40,85,#002855
0,40,90,#00285A
0,40,95,#00285F
0,40,100,#002864
0,40,105,#002869
0,40,110,#00286E
0,40,115,#002873
0,40,120,#002878
0,40,125,#00287D
0,40,130,#002882
0,40,135,#002887
0,40,140,#00288C
0,40,145,#002891
0,40,150,#002896
0,40,155,#00289B
0,40,160,#0028A0
0,40,165,#0028A5
0,40,170,#0028AA
0,40,175,#0028AF
0,40,180,#0028B4
0,40,185,#0028B9
0,40,190,#0028BE
0,40,195,#0028C3
0,40,200,#0028C8
0,40,205,#0028CD
0,40,210,#0028D2
0,40,215,#0028D7
0,40,220,#0028DC
0,40,225,#0028E1
0,40,230,#0028E6
0,40,235,#0028EB
0,40,240,#0028F0
